Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2016,Georgia,907900,1209700,2730400,1217700,6065700
2016,Hawaii,111500,168000,346000,183500,809000
2016,Idaho,146000,195400,398600,205300,945300
2016,Illinois,1125300,1560100,3333500,1638300,7657200
2016,Indiana,602900,738100,1655500,858200,3854700
2016,Iowa,276700,350500,761100,409900,1798200
2016,Kansas,271200,327000,697200,367100,1662500
2016,Kentucky,385100,485100,1129300,587300,2586800
2016,Louisiana,420200,569000,1143100,590300,2722600
2016,Maine,93200,137700,340300,208100,779300
2016,Maryland,496500,726500,1602300,784000,3609300
2016,Massachusetts,583400,836100,1775300,907200,4102000
2016,Michigan,909600,1092800,2486200,1384400,5873000
2016,Minnesota,456800,669100,1408200,733800,3267900
2016,Mississippi,272400,314900,735600,373000,1695900
2016,Missouri,514400,693200,1509500,807600,3524700
2016,Montana,93300,110000,242200,153400,598900
2016,Nebraska,172800,219500,461800,238400,1092500
2016,Nevada,256700,366500,769600,361500,1754300
2016,New Hampshire,106400,139200,352900,203600,802100
2016,New Jersey,743200,1007100,2429000,1182700,5362000
2016,New Mexico,188800,239800,492300,271200,1192100
2016,New York,1785100,2520400,5142900,2544000,11992400
2016,North Carolina,852900,1128500,2653200,1287900,5922500
2016,North Dakota,77400,98100,174800,95000,445300
2016,Ohio,982400,1307500,2891500,1594700,6776100
2016,Oklahoma,349300,464500,935700,482500,2232000
2016,Oregon,352400,509800,1034000,544500,2440700
2016,Pennsylvania,1043600,1465400,3173800,1789000,7471800
2016,Rhode Island,97300,121500,266800,146500,632100
2016,South Carolina,417000,555100,1231700,651200,2855000
2016,South Dakota,73500,102800,194500,114400,485200
2016,Tennessee,568700,764400,1710800,856600,3900500
2016,Texas,2623000,3540400,7108400,3078400,16350200
2016,Utah,323000,393900,714400,290000,1721300
2016,Vermont,50800,63700,156500,95100,366100
2016,Virginia,708400,976000,2195400,1072000,4951800
2016,Washington,635600,926300,1882200,940200,4384300
2016,West Virginia,152100,184800,459000,263800,1059700
2016,Wisconsin,504600,646600,1448700,807500,3407400
2016,Wyoming,50400,68800,139400,80400,339000
2016,Puerto Rico,335300,362600,872600,430800,2001300
2015,Alabama,424900,544800,1232300,631600,2833600
2015,Alaska,78800,96300,177800,92400,445300
2015,Arizona,631300,779700,1661800,804400,3877200
2015,Arkansas,259900,334700,738300,369900,1702800
2015,California,3816900,5070900,10311100,4590600,23789500
2015,Colorado,496000,723500,1421700,678500,3319700
2015,Connecticut,304000,376100,966000,493400,2139500
2015,Delaware,82200,105700,236900,126300,551100
2015,District of Columbia,66300,134800,171400,70600,443100
2015,Florida,1710900,2213200,5121000,2628500,11673600
2015,Georgia,914700,1184900,2741400,1201400,6042400
2015,Hawaii,120800,170400,342900,178900,813000
2015,Idaho,147900,186300,397600,202000,933800
2015,Illinois,1175400,1549800,3387900,1622000,7735100
2015,Indiana,607400,730400,1679100,844700,3861600
2015,Iowa,278600,348900,760100,410700,1798300
2015,Kansas,261900,334300,706000,365600,1667800
2015,Kentucky,385700,481200,1142800,584300,2594000
2015,Louisiana,434100,572700,1146300,588200,2741300
2015,Maine,103000,129600,347800,207900,788300
2015,Maryland,530000,709200,1618000,777100,3634300
2015,Massachusetts,595200,818300,1802900,903700,4120100
2015,Michigan,919100,1074100,2526500,1362100,5881800
2015,Minnesota,458100,671100,1421000,722700,3272900
2015,Mississippi,272600,315100,742700,370000,1700400
2015,Missouri,547100,685100,1514600,801300,3548100
2015,Montana,92600,114600,244200,150300,601700
2015,Nebraska,172100,218400,457900,236400,1084800
2015,Nevada,254900,359100,769200,351000,1734200
2015,New Hampshire,106600,135100,359400,201600,802700
2015,New Jersey,753700,1003000,2470200,1171400,5398300
2015,New Mexico,189400,236500,494500,269500,1189900
2015,New York,1822200,2503400,5223900,2518700,12068200
2015,North Carolina,871200,1119400,2634300,1258100,5883000
2015,North Dakota,78300,99100,174300,93900,445600
2015,Ohio,995900,1295600,2946300,1573500,6811300
2015,Oklahoma,343000,466300,942300,478700,2230300
2015,Oregon,350800,488300,1032500,542700,2414300
2015,Pennsylvania,1065700,1427900,3236200,1776400,7506200
2015,Rhode Island,97300,122000,271300,143900,634500
2015,South Carolina,444800,530600,1228900,637500,2841800
2015,South Dakota,73500,98500,199400,112500,483900
2015,Tennessee,581200,746800,1711000,850600,3889600
2015,Texas,2601500,3445000,7092600,3017900,16157000
2015,Utah,324800,385800,703900,280700,1695200
2015,Vermont,49800,67900,160100,97700,375500
2015,Virginia,720800,976000,2209100,1048700,4954600
2015,Washington,634300,912500,1857300,925400,4329500
2015,West Virginia,154300,185400,469500,267500,1076700
2015,Wisconsin,496800,642500,1486500,793800,3419600
2015,Wyoming,52200,70100,139000,80800,342100
2015,Puerto Rico,343900,365900,897000,428800,2035600
2017,Alabama,430500,536200,1207200,645600,2819500
2017,Alaska,63500,97900,183600,92400,437400
2017,Arizona,637200,815200,1677000,839900,3969300
2017,Arkansas,265200,329800,726600,377100,1698700
2017,California,3697900,5240600,10277900,4720500,23936900
2017,Colorado,492600,757900,1451700,697400,3399600
2017,Connecticut,297600,394900,927200,509500,2129200
2017,Delaware,78500,110500,231500,132900,553400
2017,District of Columbia,64200,141500,176600,68200,450500
2017,Florida,1698300,2330300,5217900,2777200,12023700
2017,Georgia,908000,1216400,2754900,1257200,6136500
2017,Hawaii,100400,169700,341900,182000,794000
2017,Idaho,150200,190100,410500,212000,962800
2017,Illinois,1114500,1554000,3288200,1654300,7611000
2017,Indiana,593900,753400,1651400,859000,3857700
2017,Iowa,273500,348700,753800,415400,1791400
2017,Kansas,263400,330000,687500,371900,1652800
2017,Kentucky,377400,492700,1119700,590100,2579900
2017,Louisiana,424700,551400,1139300,594900,2710300
2017,Maine,92500,143000,335100,209400,780000
2017,Maryland,500100,723100,1598700,807300,3629200
2017,Massachusetts,568000,863800,1765200,922400,4119400
2017,Michigan,896700,1111900,2462600,1393300,5864500
2017,Minnesota,463800,677000,1407900,744000,3292700
2017,Mississippi,273400,303900,731900,377300,1686500
2017,Missouri,510800,720200,1479400,813300,3523700
2017,Montana,95000,115500,246100,151200,607800
2017,Nebraska,167300,229600,453800,243500,1094200
2017,Nevada,257000,374200,788600,367700,1787500
2017,New Hampshire,104700,147400,345600,208300,806000
2017,New Jersey,734100,1026100,2420300,1207500,5388000
2017,New Mexico,191500,236800,481700,275600,1185600
2017,New York,1761000,2551200,5096700,2573500,11982400
2017,North Carolina,847500,1158700,2658600,1301900,5966700
2017,North Dakota,75100,98500,171900,97600,443100
2017,Ohio,987700,1331700,2860600,1600400,6780400
2017,Oklahoma,342600,463900,934700,486500,2227700
2017,Oregon,343700,524300,1051600,544500,2464100
2017,Pennsylvania,1028600,1466600,3152500,1796600,7444300
2017,Rhode Island,94600,126200,263400,146900,631100
2017,South Carolina,418700,554800,1246100,661400,2881000
2017,South Dakota,72000,104100,196700,114400,487200
2017,Tennessee,560900,791900,1706900,874700,3934400
2017,Texas,2612700,3587100,7243100,3155200,16598100
2017,Utah,325400,398900,736000,296800,1757100
2017,Vermont,52500,65500,151900,96300,366200
2017,Virginia,717900,983000,2188700,1079500,4969100
2017,Washington,628700,965900,1899400,949100,4443100
2017,West Virginia,148600,178300,448700,260600,1036200
2017,Wisconsin,495600,643300,1441400,812500,3392800
2017,Wyoming,48500,69400,133100,81500,332500
2017,Puerto Rico,327600,344300,849600,428200,1949700
2018,Alabama,419500,554400,1192600,646800,2813300
2018,Alaska,62200,93400,182800,94100,432500
2018,Arizona,645900,841100,1702900,862200,4052100
2018,Arkansas,255200,345400,722800,380200,1703600
2018,California,3594300,5299700,10212700,4737800,23844500
2018,Colorado,495000,771700,1471200,700700,3438600
2018,Connecticut,291600,387100,918600,510400,2107700
2018,Delaware,76700,109700,233100,134400,553900
2018,District of Columbia,64400,141400,179400,69900,455100
2018,Florida,1680500,2401900,5240300,2829800,12152500
2018,Georgia,901500,1262600,2743500,1268300,6175900
2018,Hawaii,98400,167600,340100,178500,784600
2018,Idaho,150600,203200,414500,212900,981200
2018,Illinois,1103100,1543200,3251000,1649800,7547100
2018,Indiana,585500,762900,1648200,865400,3862000
2018,Iowa,272000,352500,747900,411700,1784100
2018,Kansas,260300,325200,688300,371700,1645500
2018,Kentucky,388100,501600,1104200,591000,2584900
2018,Louisiana,408800,549800,1125800,592700,2677100
2018,Maine,93700,140400,332500,214300,780900
2018,Maryland,491800,712200,1573200,808400,3585600
2018,Massachusetts,581700,873100,1753300,936100,4144200
2018,Michigan,890600,1151100,2431200,1392900,5865800
2018,Minnesota,458400,685900,1398200,752600,3295100
2018,Mississippi,262100,326400,717600,377300,1683400
